Company,Level Audition,Name,Re-Evaluation,ep2,ep4,ep6,ep9,ep12,ep16,ep20,Note,
AMG Asian Music Group,A,Xin Liu Yuxin,A,23,16,11,8,6,2,1,,
Huace Pictures,D,Esther Yu Shuxin,D,1,1,1,1,1,1,2,,
Joinhall Media,A,Yu Yan,A,30,31,21,15,4,3,3,,
Shanghai Star48 Culture Media Group SNH48_7SENSES,A,Kiki Xu Jiaqi,B,2,2,2,2,7,7,4,,
Mountain Top Entertainment,A,Snow Kong Xueer,B,10,8,9,9,8,8,5,,
Mountain Top Entertainment,C,Zhao Xiaotang,C,61,10,3,3,2,5,6,,
Yuehua Entertainment,C,Aria Jin Zihan,C,19,29,27,21,9,9,7,,
Star Master Entertainment,A,Babymonster An Qi,A,8,4,5,4,5,6,8,,
J N E R A,B,Shaking Xie Keyin,A,32,44,13,7,3,4,9,,
WR / OC,C,NINEONE Nai Wan,C,24,33,19,14,10,11,10,,
OACA,B,Liu Lingzi,B,39,28,36,25,12,10,11,,
Shanghai Star48 Culture Media Group SNH48_7SENSES,B,Diamond Dai Meng,C,9,11,18,24,32,20,12,,
TPG Culture,B,Sharon Wang Chengxuan,A,94,20,8,5,11,12,13,,
TOV Entertainment,B,K Lu Keran,C,7,7,10,12,14,13,14,,
Star Master Entertainment,A,Frhanm Shangguan Xiai,A,4,6,6,10,13,14,15,,
Hot Idol,B,Roada Xu Ziyin,D,60,49,48,29,36,19,16,,
Shanghai Star48 Culture Media Group SNH48,D,Three Sun Rui,F,21,23,32,33,19,15,17,,
Shanghai Star48 Culture Media Group SNH48,D,Song Xinran,D,22,35,35,36,22,18,18,,
Cool Young Entertainment,A,Flora Dai Yanni,B,33,38,38,27,18,17,19,,
OACA,B,Jenny Zeng Keni,B,42,32,37,39,20,16,20,,
TOV Entertainment,C,Marco Lin Fan,C,11,18,20,20,27,25,21,,
Shanghai Star48 Culture Media Group SNH48,D,Momo Mo Han,D,14,24,28,35,45,22,22,,
Shanghai Star48 Culture Media Group SNH48_7SENSES,C,Tako Zhang Yuge,C,17,19,25,30,37,24,23,,
Shanghai Star48 Culture Media Group SNH48,D,DDD Duan Yixuan,C,12,12,17,19,15,30,24,,
Maninquin Entertainment,F,Joey Chua Cai Zhuoyi,D,5,5,7,11,16,26,25,,
Gramarie Entertainment,C,Gia Ge Xinyi,B,41,21,22,26,35,29,26,,
Individual Trainee,B,Bunny Zhang Chuhan,A,27,41,29,22,24,27,27,,
Show City Times,B,Xu Xinwen,B,79,95,84,57,29,21,28,,
Bymoon Entertainment,C,Juicy Zuo Zhuo,D,52,48,62,50,39,35,29,,
Shanghai Star48 Culture Media Group SNH48_7SENSES,C,Eliwa Xuyang Yuzhuo,B,20,17,26,37,26,23,30,,
Individual Trainee,B,Chen Jue,D,3,3,4,6,23,34,31,,
D.Wang Entertainment,B,Zhang Yu,C,59,13,12,13,17,28,32,,
M.Nation,B,Meddhi Fu Ruqiao,C,66,71,33,23,25,32,33,,
Jaywalk Newjoy,C,Bubble Zhu Linyu,B,62,58,47,45,34,31,34,,
Good@ Media,F,Hana Lin Xiaozhai,D,18,26,31,31,21,33,35,,
Hippo Film,C,Zizi Xu Zhenzhen,D,104,94,50,40,54,-,-,Eliminated in Episode 16 at rank 36(+18),
Individual Trainee,F,Victoria Li Yichen,D,63,42,45,38,44,-,-,Eliminated in Episode 16 at rank 37(+7),
Shanghai Star48 Culture Media Group SNH48,D,Fei Qinyuan,C,13,14,23,32,30,-,-,Eliminated in Episode 16 at rank 38(-8),
Yuehua Entertainment,C,Kay Song Zhaoyi,B,47,63,53,49,33,-,-,Eliminated in Episode 16 at rank 39(-6),
Shanghai Star48 Culture Media Group SNH48,D,Air Su Shanshan,F,26,34,41,46,43,-,-,Eliminated in Episode 16 at rank 40(+3),
Second Culture,F,NaHo Qi Sui,B,43,22,24,28,40,-,-,Eliminated in Episode 16 at rank 41(-1),
Digital Mars Entertainment,D,Luna Qinniu Zhengwei,F,16,27,39,43,49,-,-,Eliminated in Episode 16 at rank 42(+7),
Individual Trainee,B,Xia Yan,C,67,30,15,16,28,-,-,Eliminated in Episode 16 at rank 43(-15),
Shengyuan Inter Entertainment,B,Feng Ruohang,D,46,51,49,47,38,-,-,Eliminated in Episode 16 at rank 44(-6),
D.Wang Entertainment,A,Yvonne Wang Qing,C,69,15,16,17,31,-,-,Eliminated in Episode 16 at rank 45(-14),
Shining Star Culture,B,Vicky Wei Chen,B,53,50,46,52,50,-,-,Eliminated in Episode 16 at rank 46(+4),
TPG Culture,B,Ju Chen Pinxuan,C,73,66,69,53,41,-,-,Eliminated in Episode 16 at rank 47(-6),
Individual Trainee,B,GoGo Gou Xueying,B,34,39,34,34,42,-,-,Eliminated in Episode 16 at rank 48(-6),
Shangyue Culture AKB48 Team SH,D,Anne Hu Xinyin,C,15,25,30,41,51,-,-,Eliminated in Episode 16 at rank 49(+2),
Yuehua Entertainment,C,Vivi Chen Xinwei,F,29,46,44,55,46,-,-,Eliminated in Episode 16 at rank 50(-4),
Individual Trainee,B,Ma Shujun,A,25,36,40,44,47,-,-,Eliminated in Episode 16 at rank 51(-4),
Individual Trainee,C,Zoe Wang Xinyu,B,6,9,14,18,48,-,-,Eliminated in Episode 16 at rank 52(-4),
Gramarie Entertainment,C,Jessie Fu Yaning,D,37,37,43,54,52,-,-,Eliminated in Episode 16 at rank 53(-1),
Mon Young Pictures,A,Duan Xiaowei,D,44,40,42,60,55,-,-,Eliminated in Episode 16 at rank 54(+1),
Hippo Film,C,Monster Sun Meinan,F,105,92,93,58,59,-,-,Eliminated in Episode 16 at rank 55(+4),
Show City Times,C,Han Dong,D,56,62,64,59,56,-,-,Eliminated in Episode 16 at rank 56(-),
Hippo Film,D,Sunny Jin Yangyang,D,49,64,63,42,57,-,-,Eliminated in Episode 16 at rank 57(-),
M+ Entertainment,B,Yennis Huang Xinyuan,D,72,81,77,51,53,-,-,Eliminated in Episode 16 at rank 58(-5),
Individual Trainee,D,Ranee Wang Wanchen,D,100,57,52,48,58,-,-,Eliminated in Episode 16 at rank 59(-1),
Hippo Film,D,Zhang Menglu,F,84,107,66,56,60,-,-,Eliminated in Episode 16 at rank 60(-),
Shining Star Culture,B,Jane Wang Siyu,D,65,55,51,-,-,-,-,Eliminated in Episode 9,
Star Master Entertainment,B,Shirley Wen Zhe,D,31,45,54,-,-,-,-,Eliminated in Episode 9,
Encore Music,D,Cheng Manxin,C,58,43,55,-,-,-,-,Eliminated in Episode 9,
Lionheart Entertainment,C,Kelly Lin Weixi,B,28,47,56,-,-,-,-,Eliminated in Episode 9,
One Cool Jasco,C,Jennifer Zhou Ziqian,F,38,53,57,-,-,-,-,Eliminated in Episode 9,
OACA,B,Seven Zou Siyang,D,90,70,58,-,-,-,-,Eliminated in Episode 9,
Shangyue Culture AKB48 Team SH,D,Kuliko Shen Ying,D,36,52,59,-,-,-,-,Eliminated in Episode 9,
Yuehua Entertainment,C,Ree Ai Yiyi,D,35,59,60,-,-,-,-,Eliminated in Episode 9,
Banana Entertainment,B,Sophia Wang Shuhui,B,57,60,61,-,-,-,-,Eliminated in Episode 9,
OACA,B,Aurora Wang Mengyu,D,50,61,65,-,-,-,-,Eliminated in Episode 9,
Off/Shore Music,C,Gia Jin Jiya,F,97,85,67,-,-,-,-,Eliminated in Episode 9,
TPG Culture,C,Sheen Wang Xinming,D,108,54,68,-,-,-,-,Eliminated in Episode 9,
Hedgehog Brothers Entertainment,B,Hamy He Meiyan,D,40,56,70,-,-,-,-,Eliminated in Episode 9,
Shengyuan Inter Entertainment,D,Zha Yichen,B,75,69,71,-,-,-,-,Eliminated in Episode 9,
Yizong Cultural,A,Lil Reta Fu Jia,F,88,104,72,-,-,-,-,Eliminated in Episode 9,
Star Master Entertainment,B,Verlina Mo Yao,D,45,65,73,-,-,-,-,Eliminated in Episode 9,
Shengyuan Inter Entertainment,D,Lynn Zhou Lincong,D,98,76,74,-,-,-,-,Eliminated in Episode 9,
Show City Times,D,Wei Shuyu,F,89,108,75,-,-,-,-,Eliminated in Episode 9,
Gramarie Entertainment,D,Dolly Zhang Luofei,D,71,68,76,-,-,-,-,Eliminated in Episode 9,
Mon Young Pictures,B,Kiki Wei Qiqi,C,78,73,78,-,-,-,-,Eliminated in Episode 9,
Jaywalk Newjoy,C,Yealy Wang Yale,F,91,80,79,-,-,-,-,Eliminated in Episode 9,
M+ Entertainment,F,Nikita Huang Yiming,F,70,93,80,-,-,-,-,Eliminated in Episode 9,
TOV Entertainment,C,Hazel Chen Yiwen,C,51,67,81,-,-,-,-,Eliminated in Episode 9,
Yuehua Entertainment,C,Thea Xi Ya,F,68,79,82,-,-,-,-,Eliminated in Episode 9,
Show City Times,D,BeeBee Huang Xiaoyun,D,48,72,83,-,-,-,-,Eliminated in Episode 9,
Banana Entertainment,D,Su Qinrou,D,83,78,85,-,-,-,-,Eliminated in Episode 9,
M+ Entertainment,D,Yuni Xiong Yuqing,C,95,100,86,-,-,-,-,Eliminated in Episode 9,
Feibao Media,D,Rio Wang Rui,C,76,74,87,-,-,-,-,Eliminated in Episode 9,
TPG Culture,C,Theia Zheng Yuxin,A,99,86,88,-,-,-,-,Eliminated in Episode 9,
Huayi Brothers,D,Uah Liu Yanan,D,93,87,89,-,-,-,-,Eliminated in Episode 9,
Individual Trainee,B,Pumpkin Xu Baiyi,D,107,77,90,-,-,-,-,Eliminated in Episode 9,
Hot Idol,C,Wang Yaoyao,F,86,106,91,-,-,-,-,Eliminated in Episode 9,
Channy Dynasty,C,Joy Zhuoyi Namu,C,74,84,92,-,-,-,-,Eliminated in Episode 9,
Digital Mars Entertainment,C,ET Yang Yutong,C,101,98,94,-,-,-,-,Eliminated in Episode 9,
Alliance Art Group,C,Shen Yu,F,77,83,95,-,-,-,-,Eliminated in Episode 9,
One Cool Jasco,F,Eva Yao Yifan,D,106,82,96,-,-,-,-,Eliminated in Episode 9,
Jaywalk Newjoy,D,Tonkey Tang Keyi,D,92,105,97,-,-,-,-,Eliminated in Episode 9,
Alliance Art Group,C,Shen Qing,F,80,89,98,-,-,-,-,Eliminated in Episode 9,
Alliance Art Group,C,Shen Jie,C,82,90,99,-,-,-,-,Eliminated in Episode 9,
South Fest,D,Eileen Ai Lin,F,55,88,100,-,-,-,-,Eliminated in Episode 9,
Love & Peace,F,Aishah Ah Yixia,F,54,91,101,-,-,-,-,Eliminated in Episode 9,
OACA,B,Milla Mi La,C,87,101,102,-,-,-,-,Eliminated in Episode 9,
Banana Entertainment,B,Lin Huibo,B,96,103,103,-,-,-,-,Eliminated in Episode 9,
Banana Entertainment,C,Du Ziyi,F,81,102,104,-,-,-,-,Eliminated in Episode 9,
Ladybees Multimedia,C,Yeong Quan Xiaoying,F,85,99,105,-,-,-,-,Eliminated in Episode 9,
Jaywalk Newjoy,D,Poppy Liu Haihan,D,102,97,106,-,-,-,-,Eliminated in Episode 9,
Lehui Media,B,Jacqueline Zhang Tianxin,C,103,96,107,-,-,-,-,Eliminated in Episode 9,
Alliance Art Group,C,Shen Bing,D,64,75,-,-,-,-,-,Withdrew from the show,
Happy Jump Culture,F,Bobo Li Xining,F,-,-,-,-,-,-,-,Left the show,
